Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60QS001830",64,68.75,26.56,3.13,1.56,-,24
"60QS001831",57,73.68,24.56,-,1.75,-,17
"60QS001832",72,69.44,25.00,5.56,-,-,26
"60QS001833",72,66.67,30.56,2.78,-,-,26
"60QS001834",74,64.86,29.73,4.05,1.35,-,31
"60QS001835",70,51.43,44.29,2.86,1.43,-,38
"60QS001836",66,69.70,24.24,4.55,-,1.52,26
"60QS001837",58,48.28,39.66,8.62,3.45,-,39
"60QS001838",38,63.16,26.32,7.89,-,2.63,21
"60QS001839",52,57.69,32.69,5.77,1.92,1.92,30
"60QS001840",77,42.86,44.16,11.69,-,1.30,56
"60QS001841",48,66.67,22.92,10.42,-,-,21
"60QS001842",50,52.00,44.00,4.00,-,-,26
"60QS001843",48,50.00,41.67,4.17,2.08,2.08,31
"60QS001844",36,88.89,11.11,-,-,-,4
"60QS001845",35,37.14,48.57,14.29,-,-,27
"60QS001846",50,68.00,30.00,2.00,-,-,17
"60QS001847",52,21.15,55.77,21.15,1.92,-,54
"60QS001848",29,51.72,27.59,20.69,-,-,20
"60QS001849",30,16.67,53.33,23.33,3.33,3.33,37
"60QS001850",53,41.51,45.28,7.55,5.66,-,41
"60QS001851",46,32.61,47.83,17.39,2.17,-,41
"60QS001852",62,58.06,37.10,3.23,-,1.61,31
"60QS001853",58,41.38,51.72,5.17,1.72,-,39
"60QS001854",53,47.17,33.96,15.09,3.77,-,40
"60QS001855",46,19.57,56.52,19.57,4.35,-,50
"60QS001856",46,67.39,23.91,8.70,-,-,19
"60QS001857",60,58.33,40.00,1.67,-,-,26
"60QS001858",63,65.08,33.33,-,1.59,-,24
"60QS001859",41,75.61,17.07,7.32,-,-,13
"60QS001860",52,65.38,30.77,3.85,-,-,20
"60QS001861",45,51.11,42.22,6.67,-,-,25
"60QS001862",42,59.52,35.71,4.76,-,-,19
"60QS001863",43,55.81,37.21,6.98,-,-,22
"60QS001864",48,37.50,50.00,10.42,2.08,-,37
"60QS001865",48,66.67,29.17,4.17,-,-,18
"60QS001866",49,67.35,30.61,-,2.04,-,18
"60QS001867",47,63.83,25.53,10.64,-,-,22
"60QS001868",49,77.55,20.41,2.04,-,-,12
"60QS001869",49,46.94,40.82,12.24,-,-,32
"60QS001870",44,45.45,45.45,9.09,-,-,28
"60QS001871",67,41.79,46.27,8.96,2.99,-,49
"60QS001872",67,58.21,37.31,4.48,-,-,31
"60QS001873",53,52.83,35.85,11.32,-,-,31
"60QS001874",44,52.27,45.45,2.27,-,-,22
"60QS001875",69,72.46,20.29,7.25,-,-,24
"60QS001876",51,86.27,9.80,3.92,-,-,9
"60QS001877",51,74.51,23.53,1.96,-,-,14
"60QS001878",51,78.43,17.65,3.92,-,-,13
"60QS001879",42,90.48,4.76,2.38,-,2.38,8
"60QS001880",32,84.38,12.50,3.13,-,-,6
"60QS001881",50,54.00,46.00,-,-,-,23
"60QS001882",76,63.16,30.26,5.26,-,1.32,35
"60QS001883",24,62.50,37.50,-,-,-,9
"60QS001884",54,74.07,22.22,3.70,-,-,16
"60QS001885",37,91.89,5.41,-,2.70,-,5
"60QS001886",65,69.23,29.23,1.54,-,-,21
"60QS001887",43,60.47,32.56,6.98,-,-,20
"60QS001888",24,79.17,16.67,-,4.17,-,7
"60QS001889",47,74.47,23.40,-,2.13,-,14
"60QS001890",73,73.97,23.29,2.74,-,-,21
"60QS001891",52,96.15,3.85,-,-,-,2
"60QS001892",58,75.86,22.41,1.72,-,-,15
"60QS001893",61,81.97,14.75,3.28,-,-,13
"60QS001894",63,80.95,14.29,3.17,1.59,-,16
"60QS001895",26,53.85,38.46,7.69,-,-,14
"60QS001896",47,74.47,19.15,6.38,-,-,15
"60QS001897",63,90.48,7.94,1.59,-,-,7
"60QS001898",64,85.94,14.06,-,-,-,9
"60QS001899",32,78.13,18.75,-,3.13,-,9
"60QS001900",59,74.58,25.42,-,-,-,15
"60QS001901",22,95.45,-,4.55,-,-,2
"60QS001902",45,60.00,40.00,-,-,-,18
"60QS001903",54,75.93,24.07,-,-,-,13
"60QS001904",24,62.50,33.33,4.17,-,-,10
"60QS001905",24,83.33,16.67,-,-,-,4
"60QS001906",54,46.30,37.04,12.96,3.70,-,40
"60QS001907",21,23.81,66.67,9.52,-,-,18
"60QS001908",32,31.25,56.25,12.50,-,-,26
"60QS001909",50,36.00,44.00,18.00,2.00,-,43
"60QS001910",36,36.11,52.78,11.11,-,-,27
"60QS001911",54,31.48,46.30,22.22,-,-,49
"60QS001912",26,23.08,61.54,15.38,-,-,24
"60QS001913",46,34.78,56.52,8.70,-,-,34
"60QS001914",40,75.00,25.00,-,-,-,10
"60QS001915",30,63.33,16.67,16.67,3.33,-,18
"60QS001916",70,72.86,24.29,2.86,-,-,21
"60QS001917",69,86.96,13.04,-,-,-,9
"60QS001918",32,78.13,21.88,-,-,-,7
"60QS001919",47,70.21,25.53,4.26,-,-,16
"60QS001920",50,70.00,24.00,6.00,-,-,18
"60QS001921",48,81.25,14.58,4.17,-,-,11
"60QS001922",79,93.67,6.33,-,-,-,5
"60QS001923",70,82.86,15.71,1.43,-,-,13
"60QS001924",70,84.29,15.71,-,-,-,11
"60QS001925",57,92.98,7.02,-,-,-,4
"60QS001926",52,88.46,11.54,-,-,-,6
"60QS001927",50,78.00,22.00,-,-,-,11
"60QS001928",46,78.26,21.74,-,-,-,10
"60QS001929",68,57.35,35.29,5.88,-,1.47,36
"60QS001930",40,75.00,17.50,7.50,-,-,13
"60QS001931",69,79.71,20.29,-,-,-,14
"60QS001932",49,73.47,26.53,-,-,-,13
"60QS001933",47,68.09,27.66,4.26,-,-,17
"60QS001934",46,84.78,15.22,-,-,-,7
"60QS001935",49,75.51,24.49,-,-,-,12
"60QS001936",46,67.39,32.61,-,-,-,15
"60QS001937",26,57.69,23.08,15.38,3.85,-,17
"60QS001938",45,66.67,31.11,2.22,-,-,16
"60QS001939",66,80.30,13.64,6.06,-,-,17
"60QS001940",34,82.35,17.65,-,-,-,6
"60QS001941",47,82.98,12.77,4.26,-,-,10
"60QS001942",106,66.98,29.25,1.89,1.89,-,41
"60QS001943",43,83.72,16.28,-,-,-,7
"60QS001944",79,84.81,12.66,1.27,-,1.27,16
"60QS001945",59,83.05,13.56,1.69,1.69,-,13
"60QS001946",42,78.57,21.43,-,-,-,9
"60QS001947",45,86.67,11.11,2.22,-,-,7
"60QS001948",30,80.00,20.00,-,-,-,6
"60QS001949",52,73.08,25.00,-,1.92,-,16
"60QS001950",54,11.11,68.52,16.67,1.85,1.85,66
"60QS001951",39,66.67,23.08,10.26,-,-,17
"60QS001952",44,50.00,38.64,6.82,4.55,-,29
"60QS001953",84,53.57,41.67,3.57,1.19,-,44
"60QS001954",52,65.38,28.85,5.77,-,-,21
"60QS001955",76,55.26,39.47,3.95,1.32,-,39
"60QS001956",66,50.00,43.94,4.55,1.52,-,38
"60QS001957",62,45.16,50.00,4.84,-,-,37
"60QS001958",58,79.31,17.24,3.45,-,-,14
"60QS001959",35,71.43,17.14,5.71,5.71,-,16
"60QS001960",72,88.89,11.11,-,-,-,8
"60QS001961",43,62.79,30.23,4.65,2.33,-,20
"60QS001962",57,75.44,21.05,3.51,-,-,16
"60QS001963",56,80.36,17.86,1.79,-,-,12
"60QS001964",66,74.24,24.24,-,1.52,-,19
"60QS001965",61,57.38,39.34,3.28,-,-,28
"60QS001966",35,88.57,11.43,-,-,-,4
"60QS001967",55,60.00,32.73,5.45,1.82,-,27
"60QS001968",69,60.87,33.33,5.80,-,-,31
"60QS001969",61,90.16,9.84,-,-,-,6
"60QS001970",41,48.78,43.90,7.32,-,-,24
"60QS001971",43,6.98,67.44,23.26,-,2.33,57
"60QS001972",73,67.12,30.14,2.74,-,-,26
"60QS001973",40,22.50,57.50,20.00,-,-,39
"60QS001974",65,84.62,13.85,-,1.54,-,12
"60QS001975",78,78.21,21.79,-,-,-,17
"60QS001976",29,75.86,20.69,3.45,-,-,8
"60QS001977",41,87.80,9.76,2.44,-,-,6
"60QS001978",41,58.54,36.59,4.88,-,-,19
"60QS001979",53,88.68,9.43,1.89,-,-,7
"60QS001980",40,85.00,12.50,2.50,-,-,7
"60QS001981",31,64.52,22.58,9.68,3.23,-,16
"60QS001982",26,69.23,19.23,3.85,7.69,-,13
"60QS001983",67,83.58,14.93,1.49,-,-,12
"60QS001984",64,71.88,25.00,1.56,1.56,-,21
"60QS001985",23,73.91,26.09,-,-,-,6
"60QS001986",69,72.46,23.19,4.35,-,-,22
"60QS001987",58,74.14,22.41,3.45,-,-,17
"60QS001988",83,84.34,15.66,-,-,-,13
"60QS001989",45,82.22,13.33,2.22,2.22,-,11
"60QS001990",30,90.00,10.00,-,-,-,3
"60QS001991",31,19.35,67.74,6.45,6.45,-,31
"60QS001992",46,78.26,21.74,-,-,-,10
"60QS001993",78,57.69,35.90,6.41,-,-,38
"60QS001994",41,73.17,21.95,-,4.88,-,15
"60QS001995",42,78.57,19.05,2.38,-,-,10
"60QS001996",35,85.71,14.29,-,-,-,5
"60QS001997",54,75.93,20.37,1.85,1.85,-,16
"60QS001998",60,76.67,23.33,-,-,-,14
"60QS001999",59,77.97,22.03,-,-,-,13
"60QS002000",35,85.71,11.43,2.86,-,-,6
"60QS002001",46,91.30,8.70,-,-,-,4
"60QS002002",59,86.44,13.56,-,-,-,8
"60QS002003",48,79.17,16.67,4.17,-,-,12
"60QS002004",50,84.00,12.00,4.00,-,-,10
"60QS002005",51,84.31,13.73,1.96,-,-,9
"60QS002006",52,69.23,23.08,7.69,-,-,20
"60QS002007",67,40.30,52.24,7.46,-,-,45
"60QS002008",54,42.59,46.30,7.41,3.70,-,39
"60QS002009",66,84.85,15.15,-,-,-,10
"60QS002010",69,65.22,31.88,2.90,-,-,26
"60QS002011",28,75.00,21.43,3.57,-,-,8
"60QS002012",44,86.36,13.64,-,-,-,6
"60QS002013",69,65.22,31.88,2.90,-,-,26
"60QS002014",59,91.53,8.47,-,-,-,5
"60QS002015",65,63.08,32.31,3.08,1.54,-,28
"60QS002016",51,68.63,27.45,1.96,1.96,-,19
"60QS002017",64,56.25,37.50,4.69,1.56,-,33
"60QS002018",46,82.61,10.87,6.52,-,-,11
"60QS002019",51,56.86,39.22,3.92,-,-,24
"60QS002020",93,84.95,12.90,1.08,1.08,-,17
"60QS002021",41,68.29,24.39,7.32,-,-,16
"60QS002022",60,55.00,40.00,5.00,-,-,30
"60QS002023",59,55.93,38.98,3.39,1.69,-,30
"60QS002024",52,69.23,19.23,11.54,-,-,22
"60QS002025",70,52.86,38.57,7.14,1.43,-,40
"60QS002026",47,85.11,14.89,-,-,-,7
"60QS002027",73,79.45,20.55,-,-,-,15
"60QS002028",23,78.26,21.74,-,-,-,5
"60QS002029",47,78.72,21.28,-,-,-,10
"60QS002030",62,79.03,17.74,3.23,-,-,15
"60QS002031",66,72.73,22.73,4.55,-,-,21
"60QS002032",55,83.64,14.55,-,-,1.82,12
"60QS002033",66,78.79,19.70,-,1.52,-,16
"60QS002034",64,92.19,7.81,-,-,-,5
"60QS002035",44,84.09,13.64,-,2.27,-,9
"60QS002036",47,65.96,31.91,2.13,-,-,17
"60QS002037",55,72.73,27.27,-,-,-,15
"60QS002038",67,82.09,16.42,1.49,-,-,13
"60QS002039",44,77.27,18.18,4.55,-,-,12
"60QS002040",47,78.72,17.02,4.26,-,-,12
"60QS002041",72,50.00,44.44,5.56,-,-,40
"60QS002042",35,57.14,31.43,11.43,-,-,19
"60QS002043",64,71.88,28.13,-,-,-,18
"60QS002044",58,65.52,31.03,1.72,1.72,-,23
"60QS002045",45,80.00,20.00,-,-,-,9
"60QS002046",60,76.67,20.00,1.67,1.67,-,17
"60QS002047",57,68.42,31.58,-,-,-,18
"60QS002048",70,58.57,35.71,4.29,-,1.43,35
"60QS002049",65,89.23,10.77,-,-,-,7
"60QS002050",40,55.00,40.00,5.00,-,-,20
"60QS002051",32,59.38,37.50,3.13,-,-,14
"60QS002052",37,72.97,24.32,-,2.70,-,12
"60QS002053",54,77.78,20.37,-,1.85,-,14
"60QS002054",64,85.94,14.06,-,-,-,9
"60QS002055",51,58.82,37.25,3.92,-,-,23
"60QS002056",50,66.00,32.00,2.00,-,-,18
"60QS002057",61,40.98,50.82,8.20,-,-,41
"60QS002058",42,69.05,28.57,2.38,-,-,14
"60QS002059",72,81.94,16.67,1.39,-,-,14
"60QS002060",70,65.71,32.86,1.43,-,-,25
"60QS002061",33,81.82,15.15,-,3.03,-,8
"60QS002062",73,86.30,12.33,1.37,-,-,11
"60QS002063",41,82.93,14.63,2.44,-,-,8
"60QS002064",53,86.79,13.21,-,-,-,7
"60QS002065",84,50.00,44.05,5.95,-,-,47
"60QS002066",58,84.48,12.07,1.72,1.72,-,12
"60QS002067",67,85.07,13.43,1.49,-,-,11
"60QS002068",53,83.02,15.09,1.89,-,-,10
"60QS002069",51,70.59,23.53,5.88,-,-,18
"60QS002070",51,60.78,39.22,-,-,-,20
"60QS002071",43,74.42,20.93,4.65,-,-,13
"60QS002072",57,82.46,15.79,1.75,-,-,11
"60QS002073",62,40.32,56.45,3.23,-,-,39
"60QS002074",63,84.13,15.87,-,-,-,10
"60QS002075",60,85.00,15.00,-,-,-,9
"60QS002076",53,88.68,11.32,-,-,-,6
"60QS002077",69,78.26,21.74,-,-,-,15
"60QS002078",40,80.00,17.50,-,-,2.50,11
"60QS002079",59,84.75,15.25,-,-,-,9
"60QS002080",65,73.85,23.08,3.08,-,-,19
"60QS002081",82,75.61,21.95,2.44,-,-,22
"60QS002082",25,64.00,32.00,4.00,-,-,10
"60QS002083",75,86.67,13.33,-,-,-,10
"60QS002084",71,71.83,26.76,1.41,-,-,21
"60QS002085",75,76.00,22.67,1.33,-,-,19
"60QS002086",59,81.36,18.64,-,-,-,11
"60QS002087",54,75.93,22.22,1.85,-,-,14
"60QS002088",63,95.24,4.76,-,-,-,3
"60QS002089",61,68.85,27.87,3.28,-,-,21
"60QS002090",63,58.73,33.33,7.94,-,-,31
"60QS002091",46,78.26,17.39,4.35,-,-,12
"60QS002092",47,61.70,31.91,6.38,-,-,21
"60QS002093",59,66.10,28.81,5.08,-,-,23
"60QS002094",52,50.00,48.08,1.92,-,-,27
"60QS002095",35,62.86,34.29,2.86,-,-,14
"60QS002096",76,35.53,57.89,6.58,-,-,54
"60QS002097",61,59.02,32.79,8.20,-,-,30
"60QS002098",84,47.62,48.81,3.57,-,-,47
"60QS002099",63,33.33,58.73,7.94,-,-,47
"60QS002100",46,45.65,43.48,10.87,-,-,30
"60QS002101",52,34.62,57.69,7.69,-,-,38
"60QS002102",39,56.41,38.46,5.13,-,-,19
"60QS002103",56,35.71,57.14,3.57,3.57,-,42
"60QS002104",45,40.00,55.56,2.22,2.22,-,30
"60QS002105",47,42.55,46.81,10.64,-,-,32
"60QS002106",28,14.29,64.29,14.29,3.57,3.57,33
"60QS002107",67,25.37,67.16,7.46,-,-,55
"60QS002108",42,35.71,57.14,7.14,-,-,30
"60QS002109",40,17.50,55.00,22.50,2.50,2.50,47
"60QS002110",77,49.35,48.05,2.60,-,-,41
"60QS002111",68,58.82,32.35,7.35,1.47,-,35
"60QS002112",73,42.47,43.84,13.70,-,-,52
"60QS002113",45,11.11,57.78,26.67,4.44,-,56
"60QS002114",25,28.00,48.00,16.00,8.00,-,26
"60QS002115",53,52.83,37.74,9.43,-,-,30
"60QS002116",32,12.50,65.63,18.75,3.13,-,36
"60QS002117",79,39.24,48.10,12.66,-,-,58
"60QS002118",73,30.14,54.79,10.96,4.11,-,65
"60QS002119",59,30.51,59.32,10.17,-,-,47
"60QS002120",80,35.00,47.50,13.75,2.50,1.25,71
"60QS002121",69,28.99,57.97,11.59,1.45,-,59
"60QS002122",63,49.21,44.44,3.17,3.17,-,38
"60QS002123",77,59.74,33.77,3.90,2.60,-,38
"60QS002124",55,67.27,32.73,-,-,-,18
"60QS002125",51,56.86,41.18,1.96,-,-,23
"60QS002126",66,50.00,31.82,18.18,-,-,45
"60QS002127",46,39.13,52.17,6.52,2.17,-,33
"60QS002128",51,37.25,47.06,11.76,3.92,-,42
"60QS002129",44,38.64,50.00,11.36,-,-,32
"60QS002130",54,44.44,44.44,11.11,-,-,36
"60QS002131",57,52.63,40.35,5.26,1.75,-,32
"60QS002132",67,37.31,40.30,19.40,2.99,-,59
"60QS002133",67,23.88,58.21,14.93,2.99,-,65
"60QS002134",52,44.23,46.15,7.69,-,1.92,36
"60QS002135",55,40.00,45.45,12.73,1.82,-,42
"60QS002136",48,52.08,43.75,4.17,-,-,25
"60QS002137",54,46.30,38.89,11.11,3.70,-,39
"60QS002138",37,48.65,48.65,2.70,-,-,20
"60QS002139",74,31.08,54.05,13.51,1.35,-,63
"60QS002140",73,20.55,47.95,26.03,5.48,-,85
"60QS002141",46,41.30,47.83,10.87,-,-,32
"60QS002142",40,37.50,50.00,10.00,2.50,-,31
"60QS002143",40,32.50,57.50,7.50,-,2.50,33
"60QS002144",38,34.21,44.74,21.05,-,-,33
"60QS002145",77,41.56,49.35,9.09,-,-,52
"60QS002146",65,76.92,21.54,-,-,1.54,18
"60QS002147",45,51.11,37.78,11.11,-,-,27
"60QS002148",57,49.12,45.61,5.26,-,-,32
"60QS002149",39,30.77,58.97,7.69,2.56,-,32
"60QS002150",55,47.27,47.27,5.45,-,-,32
"60QS002151",45,37.78,53.33,8.89,-,-,32
"60QS002152",44,27.27,59.09,11.36,2.27,-,39
"60QS002153",70,27.14,60.00,11.43,-,1.43,62
"60QS002154",74,33.78,44.59,20.27,1.35,-,66
"60QS002155",61,26.23,59.02,14.75,-,-,54
"60QS002156",48,29.17,60.42,8.33,2.08,-,40
"60QS002157",48,41.67,52.08,6.25,-,-,31
"60QS002158",75,12.00,76.00,12.00,-,-,75
"60QS002159",47,12.77,68.09,17.02,2.13,-,51
"60QS002160",33,21.21,57.58,21.21,-,-,33
"60QS002161",128,17.97,63.28,17.97,0.78,-,130
"60QS002162",43,18.60,46.51,32.56,2.33,-,51
"60QS002163",60,11.67,70.00,18.33,-,-,64
"60QS002164",60,38.33,46.67,13.33,1.67,-,47
"60QS002165",45,11.11,62.22,20.00,6.67,-,55
"60QS002166",68,57.35,39.71,2.94,-,-,31
"60QS002167",80,48.75,50.00,1.25,-,-,42
"60QS002168",87,55.17,41.38,1.15,2.30,-,44
"60QS002169",64,57.81,37.50,4.69,-,-,30
"60QS002170",62,35.48,53.23,9.68,1.61,-,48
"60QS002171",53,20.75,75.47,3.77,-,-,44
"60QS002172",44,47.73,50.00,2.27,-,-,24
"60QS002173",68,32.35,63.24,2.94,1.47,-,50
"60QS002174",60,41.67,53.33,5.00,-,-,38
"60QS002175",34,26.47,67.65,5.88,-,-,27
"60QS002176",53,33.96,56.60,9.43,-,-,40
"60QS002177",42,28.57,52.38,16.67,2.38,-,39
"60QS002178",39,28.21,64.10,7.69,-,-,31
"60QS002179",43,62.79,25.58,9.30,2.33,-,22
"60QS002180",46,21.74,52.17,21.74,2.17,2.17,51
"60QS002181",53,49.06,43.40,7.55,-,-,31
"60QS002182",64,65.63,28.13,6.25,-,-,26
"60QS002183",45,44.44,48.89,2.22,-,4.44,32
"60QS002184",54,46.30,50.00,3.70,-,-,31
"60QS002185",53,43.40,54.72,1.89,-,-,31
"60QS002186",62,46.77,48.39,4.84,-,-,36
"60QS002187",73,57.53,39.73,2.74,-,-,33
"60QS002188",69,36.23,52.17,11.59,-,-,52
"60QS002189",68,47.06,47.06,5.88,-,-,40
"60QS002190",63,50.79,39.68,9.52,-,-,37
"60QS002191",69,59.42,36.23,4.35,-,-,31
"60QS002192",42,52.38,40.48,7.14,-,-,23
"60QS002193",72,47.22,40.28,9.72,1.39,1.39,50
"60QS002194",44,65.91,29.55,4.55,-,-,17
"60QS002195",76,35.53,44.74,17.11,2.63,-,66
"60QS002196",61,32.79,54.10,13.11,-,-,49
"60QS002197",71,42.25,47.89,9.86,-,-,48
"60QS002198",38,34.21,55.26,10.53,-,-,29
"60QS002199",71,25.35,61.97,12.68,-,-,62
"60QS002200",42,52.38,33.33,14.29,-,-,26
"60QS002201",75,29.33,61.33,8.00,1.33,-,61
"60QS002202",51,50.98,43.14,5.88,-,-,28
"60QS002203",65,69.23,29.23,1.54,-,-,21
"60QS002204",56,62.50,30.36,5.36,-,1.79,28
"60QS002205",66,42.42,53.03,4.55,-,-,41
"60QS002206",46,71.74,26.09,2.17,-,-,14
"60QS002207",78,56.41,39.74,2.56,1.28,-,38
"60QS002208",58,65.52,29.31,5.17,-,-,23
"60QS002209",54,37.04,53.70,9.26,-,-,39
"60QS002210",41,31.71,53.66,14.63,-,-,34
"60QS002211",45,73.33,17.78,8.89,-,-,16
"60QS002212",73,65.75,31.51,2.74,-,-,27
"60QS002213",63,71.43,22.22,6.35,-,-,22
"60QS002214",55,21.82,45.45,29.09,1.82,1.82,64
"60QS002215",36,41.67,55.56,2.78,-,-,22
"60QS002216",38,36.84,60.53,2.63,-,-,25
"60QS002217",48,25.00,58.33,16.67,-,-,44
"60QS002218",44,11.36,65.91,18.18,4.55,-,51
"60QS002219",43,2.33,53.49,39.53,4.65,-,63
"60QS002220",67,10.45,50.75,35.82,2.99,-,88
"60QS002221",67,13.43,64.18,17.91,4.48,-,76
"60QS002222",59,11.86,54.24,25.42,6.78,1.69,79
"60QS002223",28,14.29,57.14,25.00,3.57,-,33
"60QS002224",78,66.67,32.05,1.28,-,-,27
"60QS002225",63,38.10,41.27,19.05,-,1.59,54
"60QS002226",57,75.44,19.30,5.26,-,-,17
"60QS002227",59,16.95,49.15,25.42,8.47,-,74
"60QS002228",59,10.17,44.07,30.51,13.56,1.69,91
"60QS002229",58,13.79,56.90,22.41,6.90,-,71
"60QS002230",53,15.09,56.60,22.64,3.77,1.89,64
"60QS002231",44,4.55,43.18,36.36,11.36,4.55,74
"60QS002232",52,13.46,57.69,25.00,3.85,-,62
"60QS002233",40,17.50,67.50,12.50,2.50,-,40
"60QS002234",52,11.54,53.85,26.92,7.69,-,68
"60QS002235",45,6.67,48.89,28.89,8.89,6.67,72
"60QS002236",52,11.54,65.38,23.08,-,-,58
"60QS002237",47,4.26,48.94,44.68,2.13,-,68
"60QS002238",48,10.42,50.00,29.17,4.17,6.25,73
"60QS002239",50,16.00,44.00,36.00,4.00,-,64
"60QS002240",50,14.00,70.00,8.00,8.00,-,55
"60QS002241",46,21.74,54.35,19.57,2.17,2.17,50
"60QS002242",66,19.70,63.64,16.67,-,-,64
"60QS002243",57,29.82,54.39,14.04,1.75,-,50
"60QS002244",72,18.06,61.11,16.67,2.78,1.39,78
"60QS002245",70,17.14,60.00,18.57,4.29,-,77
"60QS002246",37,45.95,24.32,18.92,8.11,2.70,38
"60QS002247",50,8.00,22.00,46.00,14.00,10.00,99
"60QS002248",51,3.92,47.06,33.33,13.73,1.96,83
"60QS002249",38,2.63,31.58,50.00,15.79,-,68
"60QS002250",69,2.90,26.09,49.28,15.94,5.80,135
"60QS002251",54,5.56,42.59,37.04,14.81,-,87
"60QS002252",48,6.25,25.00,43.75,18.75,6.25,93
"60QS002253",49,14.29,57.14,24.49,2.04,2.04,59
"60QS002254",52,-,26.92,51.92,11.54,9.62,109
"60QS002255",55,3.64,29.09,47.27,16.36,3.64,105
"60QS002256",39,-,30.77,56.41,7.69,5.13,76
"60QS002257",61,16.39,73.77,8.20,-,1.64,59
"60QS002258",44,4.55,36.36,47.73,9.09,2.27,74
"60QS002259",50,78.00,18.00,2.00,2.00,-,14
"60QS002260",54,66.67,31.48,1.85,-,-,19
"60QS002261",45,73.33,26.67,-,-,-,12
"60QS002262",40,80.00,17.50,-,-,2.50,11
"60QS002263",54,18.52,38.89,27.78,12.96,1.85,76
"60QS002264",56,33.93,41.07,17.86,7.14,-,55
"60QS002265",49,20.41,40.82,26.53,10.20,2.04,66
"60QS002266",54,16.67,72.22,11.11,-,-,51
"60QS002267",52,50.00,38.46,9.62,1.92,-,33
"60QS002268",44,6.82,38.64,34.09,13.64,6.82,77
"60QS002269",51,5.88,29.41,50.98,11.76,1.96,89
"60QS002270",21,-,47.62,28.57,19.05,4.76,38
"60QS002271",28,10.71,39.29,35.71,14.29,-,43
"60QS002272",33,6.06,27.27,57.58,6.06,3.03,57
"60QS002273",60,3.33,58.33,33.33,3.33,1.67,87
"60QS002274",48,20.83,62.50,12.50,4.17,-,48
"60QS002275",58,20.69,46.55,29.31,1.72,1.72,68
"60QS002276",65,12.31,58.46,24.62,3.08,1.54,80
"60QS002277",44,18.18,36.36,31.82,13.64,-,62
"60QS002278",87,65.52,33.33,1.15,-,-,31
"60QS002279",48,4.17,56.25,37.50,2.08,-,66
"60QS002280",45,6.67,40.00,40.00,6.67,6.67,75
"60QS002281",47,65.96,34.04,-,-,-,16
"60QS002282",42,59.52,40.48,-,-,-,17
"60QS002283",47,76.60,23.40,-,-,-,11
"60QS002284",58,84.48,13.79,-,1.72,-,11
"60QS002285",59,86.44,11.86,1.69,-,-,9
"60QS002286",76,69.74,26.32,3.95,-,-,26
"60QS002287",54,66.67,31.48,1.85,-,-,19
"60QS002288",70,77.14,18.57,4.29,-,-,19
"60QS002289",37,70.27,24.32,5.41,-,-,13
"60QS002290",40,57.50,37.50,5.00,-,-,19
"60QS002291",40,25.00,50.00,17.50,5.00,2.50,44
"60QS002292",58,20.69,56.90,18.97,1.72,1.72,63
"60QS002293",48,14.58,60.42,18.75,4.17,2.08,57
"60QS002294",73,13.70,56.16,21.92,6.85,1.37,92
"60QS002295",55,-,40.00,52.73,7.27,-,92
"60QS002296",53,39.62,28.30,28.30,3.77,-,51
"60QS002297",65,9.23,47.69,32.31,9.23,1.54,95
"60QS002298",32,31.25,53.13,12.50,3.13,-,28
"60QS002299",24,33.33,54.17,8.33,-,4.17,21
"60QS002300",41,75.61,19.51,4.88,-,-,12
"60QS002301",75,77.33,20.00,2.67,-,-,19
"60QS002302",80,63.75,30.00,5.00,-,1.25,39
"60QS002303",35,60.00,37.14,2.86,-,-,15
"60QS002304",37,59.46,40.54,-,-,-,15
"60QS002305",58,68.97,31.03,-,-,-,18
"60QS002306",53,69.81,26.42,3.77,-,-,18
"60QS002307",66,74.24,22.73,3.03,-,-,19
"60QS002308",70,68.57,27.14,4.29,-,-,25
"60QS002309",52,63.46,36.54,-,-,-,19
"60QS002310",29,72.41,27.59,-,-,-,8
"60QS002311",45,64.44,31.11,4.44,-,-,18
"60QS002312",50,70.00,28.00,2.00,-,-,16
"60QS002313",43,74.42,25.58,-,-,-,11
"60QS002314",31,64.52,25.81,9.68,-,-,14
"60QS002315",48,72.92,25.00,2.08,-,-,14
"60QS002316",67,68.66,26.87,4.48,-,-,24
"60QS002317",60,70.00,28.33,1.67,-,-,19
"60QS002318",36,72.22,25.00,2.78,-,-,11
"60QS002319",61,63.93,27.87,6.56,1.64,-,28
"60QS002320",67,58.21,41.79,-,-,-,28
"60QS002321",50,34.00,50.00,14.00,2.00,-,42
"60QS002322",33,60.61,36.36,3.03,-,-,14
"60QS002323",74,79.73,20.27,-,-,-,15
"60QS002324",52,75.00,17.31,3.85,1.92,1.92,20
"60QS002325",72,80.56,18.06,1.39,-,-,15
"60QS002326",54,79.63,20.37,-,-,-,11
"60QS002327",66,66.67,31.82,1.52,-,-,23
"60QS002328",65,66.15,26.15,7.69,-,-,27
"60QS002329",77,72.73,25.97,1.30,-,-,22
"60QS002330",50,70.00,26.00,2.00,-,2.00,19
"60QS002331",38,73.68,21.05,5.26,-,-,12
"60QS002332",71,63.38,32.39,4.23,-,-,29
