Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60QA000195",44,34.09,61.36,4.55,-,-,31
"60QA000196",45,48.89,42.22,6.67,2.22,-,28
"60QA000197",51,41.18,49.02,9.80,-,-,35
"60QA000198",40,32.50,52.50,15.00,-,-,33
"60QA000199",50,26.00,64.00,8.00,2.00,-,43
"60QA000200",74,43.24,48.65,6.76,1.35,-,49
"60QA000201",60,43.33,40.00,15.00,1.67,-,45
"60QA000202",55,78.18,16.36,3.64,1.82,-,16
"60QA000203",48,18.75,60.42,18.75,2.08,-,50
"60QA000204",47,59.57,29.79,10.64,-,-,24
"60QA000205",42,71.43,26.19,-,2.38,-,14
"60QA000206",36,63.89,33.33,2.78,-,-,14
"60QA000207",30,40.00,53.33,3.33,3.33,-,21
"60QA000208",73,39.73,52.05,6.85,1.37,-,51
"60QA000209",67,49.25,41.79,7.46,1.49,-,41
"60QA000210",41,41.46,48.78,7.32,2.44,-,29
"60QA000211",64,51.56,40.63,4.69,3.13,-,38
"60QA000212",69,28.99,56.52,14.49,-,-,59
"60QA000213",77,28.57,59.74,10.39,-,1.30,66
"60QA000214",63,36.51,49.21,12.70,1.59,-,50
"60QA000215",46,41.30,45.65,10.87,2.17,-,34
"60QA000216",48,41.67,47.92,8.33,-,2.08,35
"60QA000217",46,32.61,45.65,17.39,2.17,2.17,49
"60QA000218",45,6.67,42.22,42.22,6.67,2.22,70
"60QA000219",57,10.53,36.84,43.86,7.02,1.75,87
"60QA000220",38,15.79,39.47,31.58,7.89,5.26,56
"60QA000221",68,22.06,48.53,22.06,7.35,-,78
"60QA000222",73,12.33,50.68,32.88,4.11,-,94
"60QA000223",67,10.45,55.22,26.87,5.97,1.49,90
"60QA000224",63,15.87,46.03,30.16,6.35,1.59,83
"60QA000225",45,4.44,44.44,40.00,8.89,2.22,73
"60QA000226",55,12.73,43.64,32.73,7.27,3.64,80
"60QA000227",56,8.93,51.79,39.29,-,-,73
"60QA000228",55,23.64,60.00,14.55,1.82,-,52
"60QA000229",31,6.45,48.39,35.48,6.45,3.23,47
"60QA000230",34,14.71,47.06,29.41,5.88,2.94,47
"60QA000231",44,11.36,43.18,38.64,6.82,-,62
"60QA000232",76,23.68,56.58,17.11,2.63,-,75
"60QA000233",73,13.70,45.21,38.36,-,2.74,97
"60QA000234",51,13.73,41.18,41.18,1.96,1.96,73
"60QA000235",51,31.37,35.29,33.33,-,-,52
"60QA000236",50,12.00,60.00,26.00,2.00,-,59
"60QA000237",44,15.91,59.09,20.45,4.55,-,50
"60QA000238",51,31.37,58.82,7.84,1.96,-,41
"60QA000239",35,25.71,65.71,5.71,-,2.86,32
"60QA000240",44,56.82,34.09,9.09,-,-,23
"60QA000241",43,55.81,41.86,2.33,-,-,20
"60QA000242",66,56.06,36.36,4.55,3.03,-,36
"60QA000243",39,30.77,56.41,12.82,-,-,32
"60QA000244",42,30.95,45.24,21.43,-,2.38,44
"60QA000245",38,42.11,42.11,13.16,-,2.63,36
"60QA000246",70,61.43,31.43,5.71,1.43,-,33
"60QA000247",48,70.83,27.08,2.08,-,-,15
"60QA000248",80,66.25,30.00,3.75,-,-,30
"60QA000249",43,53.49,37.21,6.98,-,2.33,26
"60QA000250",47,40.43,55.32,4.26,-,-,30
"60QA000251",35,40.00,54.29,5.71,-,-,23
"60QA000252",51,33.33,52.94,13.73,-,-,41
"60QA000253",61,42.62,40.98,16.39,-,-,45
"60QA000254",68,30.88,57.35,10.29,1.47,-,56
"60QA000255",76,42.11,51.32,6.58,-,-,49
"60QA000256",81,34.57,55.56,9.88,-,-,61
"60QA000257",41,14.63,68.29,14.63,2.44,-,43
"60QA000258",50,28.00,58.00,14.00,-,-,43
"60QA000259",47,21.28,55.32,21.28,2.13,-,49
"60QA000260",53,30.19,66.04,3.77,-,-,39
"60QA000261",79,6.33,49.37,35.44,7.59,1.27,117
"60QA000262",47,10.64,51.06,38.30,-,-,60
"60QA000263",65,47.69,46.15,6.15,-,-,38
"60QA000264",59,30.51,57.63,8.47,3.39,-,50
"60QA000265",55,5.45,45.45,43.64,1.82,3.64,84
"60QA000266",59,18.64,47.46,30.51,1.69,1.69,72
"60QA000267",43,13.95,44.19,39.53,2.33,-,56
"60QA000268",70,10.00,41.43,45.71,2.86,-,99
"60QA000269",68,-,48.53,44.12,5.88,1.47,109
"60QA000270",52,3.85,53.85,38.46,1.92,1.92,75
"60QA000271",56,10.71,60.71,28.57,-,-,66
"60QA000272",42,21.43,50.00,28.57,-,-,45
"60QA000273",35,17.14,42.86,34.29,5.71,-,45
"60QA000274",72,12.50,62.50,20.83,4.17,-,84
"60QA000275",59,18.64,55.93,23.73,1.69,-,64
"60QA000276",66,9.09,43.94,37.88,9.09,-,97
"60QA000277",50,6.00,58.00,32.00,4.00,-,67
"60QA000278",44,9.09,52.27,31.82,6.82,-,60
"60QA000279",56,14.29,55.36,28.57,1.79,-,66
"60QA000280",53,9.43,49.06,32.08,7.55,1.89,76
"60QA000281",53,16.98,54.72,26.42,1.89,-,60
"60QA000282",44,11.36,47.73,31.82,9.09,-,61
"60QA000283",45,15.56,46.67,33.33,4.44,-,57
"60QA000284",46,23.91,54.35,19.57,2.17,-,46
"60QA000285",37,40.54,48.65,10.81,-,-,26
"60QA000286",58,8.62,53.45,29.31,6.90,1.72,81
"60QA000287",71,18.31,56.34,22.54,2.82,-,78
"60QA000288",66,43.94,48.48,7.58,-,-,42
"60QA000289",39,38.46,56.41,5.13,-,-,26
"60QA000290",73,28.77,58.90,10.96,1.37,-,62
"60QA000291",53,52.83,39.62,5.66,-,1.89,31
"60QA000292",67,37.31,52.24,10.45,-,-,49
"60QA000293",46,41.30,52.17,6.52,-,-,30
"60QA000294",80,22.50,63.75,10.00,1.25,2.50,84
"60QA000295",60,25.00,68.33,5.00,1.67,-,50
"60QA000296",73,35.62,47.95,16.44,-,-,59
"60QA000297",36,16.67,47.22,27.78,8.33,-,46
"60QA000298",25,16.00,36.00,40.00,8.00,-,35
"60QA000299",55,27.27,63.64,7.27,1.82,-,46
"60QA000300",62,24.19,54.84,16.13,4.84,-,63
"60QA000301",48,87.50,12.50,-,-,-,6
"60QA000302",38,63.16,34.21,2.63,-,-,15
"60QA000303",71,14.08,54.93,26.76,2.82,1.41,87
"60QA000304",53,90.57,9.43,-,-,-,5
"60QA000305",31,16.13,64.52,19.35,-,-,32
"60QA000306",31,9.68,67.74,12.90,9.68,-,38
"60QA000307",37,24.32,54.05,21.62,-,-,36
"60QA000308",32,43.75,50.00,6.25,-,-,20
"60QA000309",80,17.50,57.50,23.75,1.25,-,87
"60QA000310",76,27.63,56.58,14.47,1.32,-,68
"60QA000311",68,51.47,39.71,5.88,-,2.94,46
"60QA000312",70,60.00,37.14,2.86,-,-,30
"60QA000313",52,32.69,46.15,19.23,-,1.92,48
"60QA000314",50,46.00,44.00,10.00,-,-,32
"60QA000315",33,48.48,42.42,9.09,-,-,20
"60QA000316",40,40.00,30.00,20.00,10.00,-,40
"60QA000317",41,41.46,46.34,7.32,2.44,2.44,32
"60QA000318",75,36.00,56.00,5.33,1.33,1.33,57
"60QA000319",70,18.57,64.29,15.71,1.43,-,70
"60QA000320",71,18.31,63.38,15.49,2.82,-,73
"60QA000321",66,34.85,51.52,10.61,3.03,-,54
"60QA000322",52,57.69,38.46,3.85,-,-,24
"60QA000323",49,40.82,36.73,20.41,2.04,-,41
"60QA000324",42,61.90,33.33,4.76,-,-,18
"60QA000325",41,21.95,63.41,9.76,4.88,-,40
"60QA000326",50,34.00,54.00,12.00,-,-,39
"60QA000327",44,25.00,47.73,18.18,6.82,2.27,51
"60QA000328",75,32.00,53.33,12.00,2.67,-,64
"60QA000329",66,34.85,51.52,12.12,-,1.52,54
"60QA000330",43,62.79,23.26,9.30,4.65,-,24
"60QA000331",66,53.03,37.88,9.09,-,-,37
"60QA000332",53,54.72,43.40,1.89,-,-,25
"60QA000333",25,36.00,40.00,24.00,-,-,22
"60QA000334",51,31.37,41.18,23.53,3.92,-,51
"60QA000335",70,51.43,35.71,11.43,1.43,-,44
"60QA000336",49,28.57,48.98,18.37,4.08,-,48
"60QA000337",43,16.28,44.19,37.21,2.33,-,54
"60QA000338",74,18.92,54.05,22.97,2.70,1.35,84
"60QA000339",71,19.72,59.15,15.49,4.23,1.41,77
"60QA000340",51,9.80,54.90,33.33,1.96,-,65
"60QA000341",49,10.20,57.14,28.57,4.08,-,62
"60QA000342",39,2.56,46.15,46.15,5.13,-,60
"60QA000343",46,13.04,58.70,28.26,-,-,53
"60QA000344",60,11.67,46.67,38.33,3.33,-,80
"60QA000345",46,8.70,56.52,32.61,2.17,-,59
"60QA000346",39,-,66.67,30.77,2.56,-,53
"60QA000347",56,12.50,57.14,28.57,1.79,-,67
"60QA000348",40,20.00,57.50,20.00,2.50,-,42
"60QA000349",44,11.36,59.09,25.00,4.55,-,54
"60QA000350",45,13.33,48.89,33.33,4.44,-,58
"60QA000351",55,12.73,45.45,36.36,5.45,-,74
"60QA000352",50,8.00,60.00,28.00,4.00,-,64
"60QA000353",47,6.38,53.19,38.30,2.13,-,64
"60QA000354",47,8.51,63.83,27.66,-,-,56
"60QA000355",47,12.77,53.19,31.91,2.13,-,58
"60QA000356",72,9.72,59.72,30.56,-,-,87
"60QA000357",73,10.96,52.05,35.62,1.37,-,93
"60QA000358",75,12.00,56.00,26.67,5.33,-,94
"60QA000359",67,17.91,35.82,38.81,5.97,1.49,92
"60QA000360",51,19.61,50.98,27.45,1.96,-,57
"60QA000361",41,21.95,63.41,12.20,2.44,-,39
"60QA000362",46,10.87,56.52,32.61,-,-,56
"60QA000363",74,18.92,45.95,31.08,2.70,1.35,90
"60QA000364",70,17.14,57.14,22.86,2.86,-,78
"60QA000365",69,31.88,39.13,26.09,1.45,1.45,70
"60QA000366",46,32.61,50.00,17.39,-,-,39
"60QA000367",56,53.57,39.29,3.57,3.57,-,32
"60QA000368",39,64.10,28.21,7.69,-,-,17
"60QA000369",50,28.00,52.00,20.00,-,-,46
"60QA000370",63,4.76,44.44,38.10,11.11,1.59,103
"60QA000371",49,10.20,48.98,34.69,2.04,4.08,71
"60QA000372",40,15.00,32.50,42.50,10.00,-,59
"60QA000373",48,16.67,54.17,25.00,4.17,-,56
"60QA000374",55,10.91,60.00,27.27,-,1.82,69
"60QA000375",41,19.51,36.59,39.02,4.88,-,53
"60QA000376",60,8.33,53.33,28.33,6.67,3.33,86
"60QA000377",53,9.43,41.51,35.85,9.43,3.77,85
"60QA000378",42,9.52,61.90,23.81,4.76,-,52
"60QA000379",59,8.47,37.29,47.46,5.08,1.69,92
"60QA000380",20,10.00,60.00,20.00,10.00,-,26
"60QA000381",52,26.92,63.46,9.62,-,-,43
"60QA000382",41,39.02,43.90,12.20,4.88,-,34
"60QA000383",57,28.07,56.14,10.53,3.51,1.75,56
"60QA000384",66,53.03,37.88,7.58,1.52,-,38
"60QA000385",71,35.21,53.52,9.86,1.41,-,55
"60QA000386",54,14.81,48.15,35.19,1.85,-,67
"60QA000387",64,29.69,67.19,3.13,-,-,47
"60QA000388",64,28.13,54.69,14.06,3.13,-,59
"60QA000389",49,53.06,34.69,12.24,-,-,29
"60QA000390",56,35.71,57.14,3.57,3.57,-,42
"60QA000391",100,23.00,64.00,13.00,-,-,90
"60QA000392",71,57.75,36.62,5.63,-,-,34
"60QA000393",74,51.35,40.54,5.41,1.35,1.35,45
"60QA000394",38,44.74,55.26,-,-,-,21
"60QA000395",75,8.00,64.00,24.00,4.00,-,93
"60QA000396",74,25.68,54.05,18.92,1.35,-,71
"60QA000397",67,19.40,50.75,29.85,-,-,74
"60QA000398",39,17.95,53.85,20.51,7.69,-,46
